,City,Country,Date,Max Temperature,Humidity,Cloudiness,Wind Speed,Latitude,Longitude
168,Provideniya,RU,1548975600,10.4,66,0,15.66,64.42,-173.23
169,Grand Gaube,MU,1548975600,78.8,78,20,2.24,-20.01,57.66
170,Svetlogorsk,RU,1548975600,1.4,84,75,11.18,53.14,59.15
171,Pisco,PE,1548975600,71.6,30,75,8.05,-13.71,-76.2
172,San Policarpo,PH,1548977744,75.38,98,76,12.21,12.18,125.51
173,Arusha,TZ,1548972000,75.2,64,0,4.61,-3.37,36.69
174,Assare,BR,1548977745,75.61,73,32,3.38,-6.87,-39.88
175,Saint-Joseph,RE,1548975600,78.8,78,0,19.46,-21.37,55.62
176,Mahebourg,MU,1548975600,78.8,78,20,2.24,-20.41,57.7
177,Leningradskiy,RU,1548977679,-2.43,86,64,23.06,69.38,178.42
178,Entre Rios,BO,1548975600,68,82,75,5.82,-21.53,-64.17
179,Georgetown,SH,1548977747,80.38,100,92,13.44,-7.93,-14.42
180,Mnogovershinnyy,RU,1548977584,7.88,73,68,10.09,53.94,139.92
181,Kisangani,CD,1548977747,71.92,100,36,3.04,0.52,25.21
182,Sitka,US,1548977748,42.08,59,0,3.38,37.17,-99.65
183,Fort Nelson,CA,1548975600,-2.21,70,75,3.36,58.81,-122.69
184,Speightstown,BB,1548975600,77,69,20,12.75,13.25,-59.65
185,Agadez,NE,1548977749,56.08,30,0,7.63,16.97,7.99
186,Fortuna,US,1548975300,62.6,100,1,10.29,40.6,-124.16
187,Ahipara,NZ,1548977749,76.1,66,20,1.92,-35.17,173.16
188,Uige,AO,1548977750,67.28,99,76,2.15,-7.61,15.06
189,Perevolotskiy,RU,1548977750,4.1,81,24,7.63,51.88,54.19
190,Puerto Vallarta,MX,1548974700,78.8,74,90,10.29,20.61,-105.23
191,Dubbo,AU,1548975600,78.8,50,12,25.28,-32.25,148.6
192,Huarmey,PE,1548977751,74.03,68,24,3.71,-10.07,-78.15
193,Tuy Hoa,VN,1548977543,70.39,97,32,10.54,13.08,109.3
194,Eyl,SO,1548977609,71.51,100,48,14.79,7.98,49.82
195,Lebu,CL,1548977752,57.83,89,0,23.73,-37.62,-73.65
196,Kula,TR,1548977752,38.89,90,0,8.86,38.55,28.65
197,Puerto Montt,CL,1548975600,60.8,72,75,8.05,-41.47,-72.94
198,Iquique,CL,1548975600,78.8,69,0,18.34,-20.22,-70.14
199,Msowero,TZ,1548972000,77,78,20,2.82,-6.53,37.2
200,Chuy,UY,1548977623,71.47,95,88,8.97,-33.69,-53.46
201,Ligayan,PH,1548977754,81.19,99,20,13.22,4.65,119.47
202,Waipawa,NZ,1548977754,80.33,52,0,12.66,-39.94,176.59
203,Fairbanks,US,1548975480,-7.97,82,1,5.28,64.84,-147.72
204,Richards Bay,ZA,1548977633,74.48,84,76,1.92,-28.77,32.06
205,Khatanga,RU,1548977755,-29.65,50,48,8.41,71.98,102.47
206,Sandviken,SE,1548977755,21.56,94,80,4.5,60.62,16.77
207,Bandar,ID,1548977756,72.5,100,44,3.94,-4.2,104.14
208,Coihaique,CL,1548975600,57.2,47,40,8.05,-45.58,-72.07
209,Nome,US,1548976500,56.84,73,90,10.29,30.04,-94.42
210,Torbay,CA,1548976800,30.2,80,90,29.97,47.66,-52.73
211,Marrakesh,MA,1548975600,48.2,81,0,5.82,31.63,-7.99
212,Guerrero Negro,MX,1548977757,64.58,71,32,4.5,27.97,-114.04
213,Cardoso,BR,1548977757,83.84,65,56,1.14,-20.08,-49.91
214,Fayaoue,NC,1548977758,76.69,100,92,21.27,-20.65,166.53
215,Laredo,US,1548977100,58.1,93,90,8.05,27.51,-99.51
216,Kidal,ML,1548977758,49.51,45,0,3.94,18.44,1.41
217,Touros,BR,1548975600,82.4,78,40,11.41,-5.2,-35.46
218,Zwedru,LR,1548977759,74.62,96,0,5.39,6.07,-8.13
219,Ntungamo,UG,1548977759,55.72,75,0,2.37,-0.87,30.27
220,Winneba,GH,1548975600,82.4,88,75,11.41,5.35,-0.62
221,Isiro,CD,1548977760,72.41,83,56,2.59,2.77,27.62
222,Balyaga,RU,1548977760,11.17,57,80,4.38,51.15,108.93
223,Coolum Beach,AU,1548977760,78.49,85,92,5.17,-26.53,153.09
224,Wellington,CA,1548975600,12.2,66,75,20.8,44.87,-63.61
225,Clyde River,CA,1548975600,-18.41,82,90,2.24,70.47,-68.59
226,Huaiyuan,CN,1548977761,24.49,85,12,7.18,32.97,117.2
227,Kruisfontein,ZA,1548977687,66.74,98,92,11.99,-34,24.73
228,Katsuura,JP,1548975600,39.2,69,75,11.41,33.93,134.5
229,Mahibadhoo,MV,1548977762,81.46,100,0,14.79,3.78,72.97
230,Camabatela,AO,1548977763,65.03,97,80,2.48,-8.19,15.37
231,Gold Coast,AU,1548975600,82.4,61,75,8.05,-28,153.41
232,Severo-Kurilsk,RU,1548977763,31.06,100,88,16.8,50.68,156.12
233,Monrovia,LR,1548973800,77,94,20,5.5,6.33,-10.8
234,Gandorhun,SL,1548977764,77.54,60,0,7.96,8.44,-10.86
235,Portage,US,1548976800,-0.41,70,90,4.94,41.58,-87.18
236,Kencong,ID,1548977764,73.63,94,20,4.16,-7.78,112.24
237,Cherskiy,RU,1548977765,-27.81,44,76,5.61,68.75,161.3
238,Panzhihua,CN,1548977765,31.87,73,0,1.48,26.59,101.72
239,Vardo,NO,1548973200,19.4,79,75,8.05,70.37,31.11
240,Baykit,RU,1548977766,-38.29,75,20,4.5,61.68,96.39
241,Ankazoabo,MG,1548977766,67.91,96,0,3.15,-22.29,44.51
242,San Felipe,MX,1548977766,62.69,97,0,14.23,31.02,-114.84
243,Pingliang,CN,1548977767,3.83,61,0,2.59,35.54,106.68
244,Mehamn,NO,1548975000,19.4,79,0,13.87,71.03,27.85
245,Lakatoro,VU,1548977768,79.66,96,100,8.08,-16.11,167.42
246,Boppard,DE,1548976800,26.6,92,75,23.04,50.23,7.59
247,Hobyo,SO,1548977768,74.39,87,44,16.35,5.35,48.53
248,Tonstad,NO,1548975000,35.6,64,75,14.99,58.66,6.71
249,Owando,CG,1548977770,70.57,99,48,3.38,-0.49,15.91
250,Cidreira,BR,1548977770,72.59,100,92,1.14,-30.17,-50.22
251,Griffith,AU,1548975600,77,49,0,9.17,-34.29,146.06
252,Genc,TR,1548977771,26.74,92,92,2.48,38.75,40.56
253,Timbuktu,ML,1548977771,59.99,33,0,4.38,16.77,-3.01
254,Haines Junction,CA,1548977771,5,75,12,2.26,60.75,-137.51
255,Ishinomaki,JP,1548975600,32,100,75,3.36,38.42,141.3
256,Isla Mujeres,MX,1548974640,77,69,75,8.05,21.23,-86.73
257,Rundu,NA,1548977772,73.04,74,0,8.41,-17.91,19.77
258,Varzelandia,BR,1548977773,81.41,34,32,9.75,-15.7,-44.03
259,Skibbereen,IE,1548977400,39.2,93,75,13.87,51.55,-9.27
260,Hofn,IS,1548977634,29.62,100,0,25.64,64.25,-15.21
261,Muros,ES,1548975600,46.4,93,40,11.41,42.77,-9.06
262,Beyneu,KZ,1548977774,16.7,88,12,11.77,45.32,55.19
263,Aljezur,PT,1548977774,59.68,99,92,27.76,37.31,-8.8
264,Daloa,CI,1548977775,78.44,83,12,5.39,6.88,-6.45
265,Mar del Plata,AR,1548977559,65.93,33,0,16.8,-46.43,-67.52
266,Petropavlovsk-Kamchatskiy,RU,1548975600,32,90,75,24.61,53.05,158.65
267,Souillac,MU,1548975600,78.8,78,20,2.24,-20.52,57.52
268,Inhambane,MZ,1548977776,78.94,92,100,7.85,-23.87,35.38
269,Ulladulla,AU,1548975600,64.4,77,90,10.29,-35.36,150.48
270,Paracuru,BR,1548975600,82.4,83,40,9.17,-3.41,-39.03
271,Hasaki,JP,1548975600,32,100,20,1.12,35.73,140.83
272,Bulgan,MN,1548977777,-1.12,48,12,5.17,48.81,103.53
273,Bay Roberts,CA,1548976800,30.2,80,90,29.97,47.58,-53.28
274,Surab,PK,1548977778,28.63,79,0,2.26,28.49,66.26
275,Norman Wells,CA,1548975600,-4.01,64,90,13.87,65.28,-126.83
276,Norsup,VU,1548977778,79.66,96,100,8.08,-16.07,167.38
277,Novosergiyevka,RU,1548977779,5.32,76,20,7.96,52.08,53.65
278,Paso de los Toros,UY,1548977779,79.34,78,80,5.95,-32.81,-56.52
279,Ankazobe,MG,1548975600,66.2,82,75,9.17,-18.32,47.12
280,Pangai,TO,1548975600,82.4,78,40,9.17,-19.8,-174.35
281,Caravelas,BR,1548977481,82.94,99,0,15.23,-17.73,-39.27
282,Tra Vinh,VN,1548977780,79.79,72,92,10.09,9.93,106.35
283,Belaya Kholunitsa,RU,1548977780,23.45,90,92,11.65,58.84,50.85
284,Preobrazheniye,RU,1548977781,7.84,43,0,3.15,42.9,133.91
285,Anadyr,RU,1548975600,17.6,85,90,29.08,64.73,177.51
286,Thompson,CA,1548975600,-13.01,62,90,3.36,55.74,-97.86
287,Abonnema,NG,1548972000,80.6,94,20,3.36,4.71,6.79
288,Russellville,US,1548976500,41,52,90,5.82,35.28,-93.13
289,Talnakh,RU,1548977699,-50.35,0,0,2.93,69.49,88.39
290,Awjilah,LY,1548977783,44.33,75,0,3.94,29.14,21.3
291,Lengshuitan,CN,1548977783,38.53,98,64,3.04,26.41,111.6
292,Dongsheng,CN,1548977783,27.23,80,48,2.93,29.72,112.52
293,Zhuhai,CN,1548975600,-4.01,70,0,6.71,40.71,112.04
294,Malindi,KE,1548977784,78.71,91,64,7.96,-3.22,40.12
295,Whyalla,AU,1548975600,73.4,40,0,9.17,-33.04,137.58
296,Faanui,PF,1548977784,83.66,99,68,19.71,-16.48,-151.75
297,Litovko,RU,1548977785,-8.91,65,0,2.26,49.24,135.18
298,Otofuke,JP,1548975600,14,51,20,9.17,43.02,143.2
299,Port-Gentil,GA,1548975600,82.4,83,40,5.82,-0.72,8.78
300,Moranbah,AU,1548977785,82.31,65,12,16.8,-22,148.04
301,Ola,RU,1548977786,8.6,100,12,23.96,59.58,151.3
302,Itarema,BR,1548977786,78.8,90,92,8.52,-2.92,-39.92
303,Xuddur,SO,1548977786,67.91,51,0,9.98,4.12,43.89
304,Vestmannaeyjar,IS,1548977619,25.25,100,0,15.9,63.44,-20.27
305,Sechura,PE,1548977787,75.07,89,100,6.17,-5.56,-80.82
306,Batsfjord,NO,1548973200,19.4,79,75,8.05,70.63,29.72
307,Biak,ID,1548977684,81.28,95,8,2.93,-0.91,122.88
308,Libreville,GA,1548975600,82.4,83,20,4.7,0.39,9.45
309,Necochea,AR,1548977788,71.29,59,0,11.21,-38.55,-58.74
310,Araouane,ML,1548977788,53.06,39,0,5.61,18.9,-3.53
311,Hami,CN,1548977789,-1.8,55,76,3.04,42.84,93.51
312,Bana,CM,1548977789,53.96,82,0,1.59,5.14,10.29
313,Boyuibe,BO,1548975600,78.8,65,40,5.82,-20.43,-63.28
314,Talaya,RU,1548975600,-36.41,65,0,4.47,55.79,84.89
315,La Libertad,SV,1548975000,87.8,52,20,4.7,13.49,-89.32
316,Sao Gabriel da Cachoeira,BR,1548977791,78.53,89,12,1.7,-0.13,-67.09
317,Xam Nua,LA,1548977792,56.62,97,56,1.92,20.42,104.04
318,Harper,LR,1548977792,80.47,100,32,6.62,4.38,-7.71
319,Upernavik,GL,1548977792,-2.65,99,0,6.96,72.79,-56.15
320,Port Moresby,PG,1548975600,78.8,83,75,8.05,-9.47,147.16
321,Kollo,NE,1548975600,75.2,10,0,6.93,13.34,2.32
322,Noumea,NC,1548975600,84.2,62,75,11.41,-22.28,166.46
323,Weinan,CN,1548975600,23,79,36,6.71,34.5,109.46
324,Chipinge,ZW,1548977794,65.3,85,0,2.71,-20.19,32.62
325,Sokolo,ML,1548977794,66.65,36,0,8.3,14.74,-6.12
326,Santa Isabel do Rio Negro,BR,1548977795,79.84,88,24,2.48,-0.41,-65.02
327,Natal,BR,1548975600,82.4,74,20,13.87,-5.81,-35.21
328,El Bagre,CO,1548977795,84.16,62,68,4.38,7.6,-74.8
329,Homer,US,1548975180,35.96,81,1,3.36,59.64,-151.54
330,Guilin,CN,1548975600,42.8,70,40,6.71,25.28,110.29
331,Nanortalik,GL,1548977569,23.41,100,76,19.26,60.14,-45.24
332,Miranpur,IN,1548977796,51.67,95,92,2.93,29.29,77.95
333,Tazovskiy,RU,1548977796,-51.75,0,0,4.05,67.47,78.7
334,Aksarka,RU,1548977797,-49.5,0,0,2.93,66.56,67.8
335,Zambezi,ZM,1548977797,66.52,91,92,9.42,-13.55,23.12
336,Pimenteiras,BR,1548977797,79.34,67,36,6.85,-6.24,-41.42
337,North Bend,US,1548975360,53.96,83,1,9.17,43.41,-124.22
338,Yerbogachen,RU,1548977798,-40.32,86,12,4.61,61.28,108.01
339,Puerto Quijarro,BO,1548975600,87.8,58,0,1.12,-19,-57.72
340,Berlevag,NO,1548975000,19.4,79,0,13.87,70.86,29.09
341,Guymon,US,1548976500,57.02,24,1,5.82,36.68,-101.48
342,Isangel,VU,1548975600,82.4,83,75,10.29,-19.55,169.27
343,Sucre,BO,1548977800,51.76,96,92,2.26,-19.05,-65.26
344,Nishihara,JP,1548975780,39.2,29,20,17.22,35.74,139.53
345,Bahia Blanca,AR,1548977754,82.31,41,0,12.44,-38.72,-62.27
346,Bodden Town,KY,1548975600,78.8,83,75,13.87,19.28,-81.25
347,Alta Floresta,BR,1548977801,74.84,95,64,1.92,-9.87,-56.08
348,Baiquan,CN,1548977802,-1.84,69,0,2.59,47.61,126.08
349,Diapaga,BF,1548977802,70.03,37,0,5.73,12.07,1.79
350,Limbe,HT,1548977802,74.84,89,8,10.98,19.7,-72.4
351,Bilibino,RU,1548977803,-27,40,24,3.04,68.06,166.44
352,Aripuana,BR,1548977803,78.71,89,24,1.81,-9.17,-60.63
353,Srisailam,IN,1548977803,53.15,92,0,3.15,16.07,78.87
354,Nouadhibou,MR,1548977803,65.53,67,8,15.12,20.93,-17.03
355,Padang,ID,1548975600,77,94,20,2.24,-0.92,100.36
356,Mount Gambier,AU,1548975600,64.4,42,0,14.99,-37.83,140.78
357,Kieta,PG,1548977602,83.17,98,56,1.59,-6.22,155.63
358,Poum,NC,1548977805,79.66,100,92,20.6,-20.23,164.02
359,Redmond,US,1548976500,59,48,20,5.82,47.67,-122.12
360,Geraldton,AU,1548975600,71.6,83,0,10.42,-28.77,114.6
361,Jining,CN,1548977806,15.98,64,0,2.93,35.41,116.58
362,Churapcha,RU,1548977806,-36.54,70,48,2.71,62,132.43
363,Gambela,ET,1548977806,59.77,75,0,2.59,8.25,34.59
364,Paramonga,PE,1548977807,73.4,100,24,7.4,-10.68,-77.82
365,Sao Joao da Barra,BR,1548972000,82.4,69,0,16.11,-21.64,-41.05
366,Kaitangata,NZ,1548977808,59.63,67,12,24.52,-46.28,169.85
367,Luleburgaz,TR,1548976800,44.6,93,75,12.75,41.4,27.36
368,Bathsheba,BB,1548975600,77,69,20,12.75,13.22,-59.52
369,Azanka,RU,1548977808,-7.87,64,88,5.73,58.04,64.79
370,Narsaq,GL,1548975000,19.4,52,56,1.12,60.91,-46.05
371,Hualmay,PE,1548977809,73.27,80,44,4.61,-11.1,-77.61
372,Rocha,UY,1548977696,73.76,60,92,9.75,-34.48,-54.34
373,Bambanglipuro,ID,1548977810,75.11,94,48,4.27,-7.95,110.28
